 ,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
alpineseaholly,Alpine Sea Holly,Sea hollies can provide unique interest with their spiny-toothed leaves and clusters of teasel-like blossoms. They also offer versatility with their wide range of growing conditions and various uses in the garden.,,Easy,,"Watering is not necessary, and required only during droughts.",July-August,,They require full sun.,They are best grown in moist soil with good drainage. They prefer sandy soil. They tolerate poor soil conditions and drought. ,https://www.gardeningknowhow.com/ornamental/flowers/sea-holly/sea-holly-flowers.htm,"“Sea Holly Plant Care: How To Grow A Sea Holly Plant,” Gardening Know How. [Online]. Available: https://www.gardeningknowhow.com/ornamental/flowers/sea-holly/sea-holly-flowers.htm. [Accessed: 11-Apr-2019]."
anthurium,Anthurium,"Anthuriums are herbaceous epiphytes native to tropical America. Anthurium is a genus of more than 800 species found in the New World tropics from Mexico to northern Argentina and Uruguay. The Anthurium is also known as Painted Tongue, Flamingo Flower (Flamingo Lily) or Tail Flower. Anthuriums are grown for their brightly colored flower spathes and their ornamental leaves.",,,"Anthuriums should be planted in raised beds of 1.3 to 2 meters wide and 20 cm deep. They should not be planted more than 5 cm deep, as deep planting results in the rotting of stems and roots. Stake the anthurium after planting for support. Water the anthuriums immediately after planting.",Water thoroughly and let slightly dry between waterings. Over watering can cause root damagage or yellowing of leaves.,,,They require high light but avoid direct sunlight.,"They tolerate wide range of soils, from sandy loams to heavy clays. They require good water retention and drainage.",https://www.theflowerexpert.com/content/aboutflowers/exoticflowers/anthuriums,"“Anthurium Flower Facts, Growing & Caring Anthuriums Plant,” The Flower Expert. [Online]. Available: https://www.theflowerexpert.com/content/aboutflowers/exoticflowers/anthuriums. [Accessed: 11-Apr-2019]."
artichoke,Artichoke,"Grown primarily in warm climates, artichokes provide delicious gourmet-quality, tender thistles for eating and are also a beautiful garden feature.",,,They are best planted form bare-root stock or divisions.,Water artichoke heavily. ,"Plant Fall, Harvest Spring",,They require full sun.,"They are best grown in sandy, well-drained soil.",https://garden.org/plants/group/artichokes/,"“Artichokes: Plant Care and Collection of Varieties,” Artichokes: Plant Care and Collection of Varieties - Garden.org. [Online]. Available: https://garden.org/plants/group/artichokes/. [Accessed: 11-Apr-2019]."
azalea,Azalea,"Often referred to as ""the royalty of the garden,"" these elegant flowers are known for their outstanding colors and foliage. With thousands of varieties to choose from, Azaleas require little maintenance once planted and can be brought inside to make a fabulous bouquet.",,Easy,,,Blooms in Spring ,,They require partial shade.,Thye are best grown in well drained soil.,https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE,"“151 Types of Flowers Images and Growing Tips | Care Guide,” ProFlowers Blog, 18-Mar-2019. [Online]. Available: https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE. [Accessed: 11-Apr-2019]."
ballmoss,Ball Moss,"Tillandsia recurvata is gray-green with scaly, recurved, linear leaves 5-15cm (2-6 inch) long. The leaves occur in two ranks on opposite sides of the steam. The overlapping scales which cover the steams and leaves absorb water when they are wet (rain or fog). The scales are also responsible for the relative tolerance of cold weather of this species.  They tends to form a spheroid ranging in size from a golf ball to a soccer ball. In autumn they produce 15cm (6 inch) erect spikes with one to seven funnel-shaped,  1cm (0.5 inch) long flowers with pale blue or violet petals and gray-scaly bracts at their bases.  After flowering, produce club like greenish-brown seed capsules.",,,Propagate by seed or division of balls.,Water 30min-1hr once a week during active growing season and water sparingly during the winter. ,,,They require bright filtered light indoors and avoid direct midday sun outdoors.,,http://www.plantsrescue.com/tag/ball-moss/,"“Plants & Flowers,” Plants & Flowers » Ball Moss. [Online]. Available: http://www.plantsrescue.com/tag/ball-moss/. [Accessed: 11-Apr-2019]."
balloonflower,Balloon Flower,"Balloon flowers start as hollow buds and, as it grows, eventually bursts open into a star-shaped flower. In addition to its beauty, Balloon flowers are resilient in the garden and can handle varying sunlight, water and soil.",,Easy,,,Blooms in Summer,,They require full sun or partial shade.,They are best grown in well drained soil.,https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE,"“151 Types of Flowers Images and Growing Tips | Care Guide,” ProFlowers Blog, 18-Mar-2019. [Online]. Available: https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE. [Accessed: 11-Apr-2019]."
barbetondaisy,Barbeton Daisy,Native to South Africa this species is a perennial in warmer climates but in cooler countries (temperate regions) it's grown as an annual and flowering pot plant. There are many varieties and hybrids sold that are more compact in growth than the basic type. The basic type has stalks which grow up to 2ft tall that can become quite lanky and unattractive.,Annual or Perennial,Easy,They are mostly propagated with seeds although the parent plant can also be divided or root cuttings can be used.,"Keep the soil moist at all times. Once the soil becomes slightly dry to the touch, provide water straight away or the plant will begin to wilt very quickly.",Blooms in Summer,,They require full sun.,They are best grown in peat based potting mix with 2 parts peat and 1 part perlite. ,https://www.houseplantsexpert.com/barberton-daisy.html,"“Barberton Daisy - Gerbera Jamesonii - Indoor Care and Description,” House Plants Expert. [Online]. Available: https://www.houseplantsexpert.com/barberton-daisy.html. [Accessed: 11-Apr-2019]."
beardediris,Bearded Iris,"Also known as German Iris, ranging from 1.5 to 2 feet tall, these Bearded Iris varieties are perfect for adding color to the middle of garden borders.",Perennial,Easy,"Propagate by division or separation. Divide in midsummer. Replant only rhizomes that appear strong and healthy, discard others. Cut the healthy rhizomes into pieces with one foliage fan each, cutting the foliage back to only 6” in height. Allow the cut rhizomes to cure overnight, then replant them in well-worked soil.","Keep moist but not soggy while blooming, then keep the soil very dry after flowering has finished and the foliage has faded. Remove faded foliage and blooms to prevent disease.",Mid-Late Spring,,They require full sun or partial shade.,"They are best grown in well drained, fertile soil.",http://www.gardening.cornell.edu/homegardening/scenefc80.html,"“Iris, Bearded (medium height),” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenefc80.html. [Accessed: 11-Apr-2019]."
beebalm,Bee Balm,"Also known as Bergamot, Oswego tea, Scarlet monarda, valued in ornamental plantings for its scarlet blooms (varieties also come in white and shades of pink, purple and blue) that attract bees, hummingbirds and beneficial insects, the Oswego indians introduced this native New York herb to the colonists.",Perennial,Easy,"Propagate by seed, cuttings, division or separation. Plant seeds in containers in cold frame. Seeds germinate in 10 to 40 days.

Take basal softwood cuttings with plenty of underground stem in spring. Pot individually and keep in light shade in a cold frame or greenhouse until well rooted, then plant out.

Divide clumps of the spreading root system every 2 or 3 years in early spring before growth begins. Plant the large clumps directly into a sunny moist location. Pot small divisions and grow in light shade in a cold frame until well established before planting out.","They need continuous moisture in summer, but protection from excessive moisture in winter.","Blooms Mid-Late Summer
",,fThey require full sun or partial shade.,They require damp soil but will tolerate low fertility.,http://www.gardening.cornell.edu/homegardening/scene13fe.html,"“Bee balm,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene13fe.html. [Accessed: 11-Apr-2019]."
birdofparadise,Bird of Paradise,"There are five Strelitzia species, but only two are grown as indoor plants: Strelitzia reginae (the orange bird of paradise) and Strelitzia nicolai (the white bird of paradise). These plants grow with upright leaves emerging directly from the soil; there is no trunk. The large leaves range between 12 and 18 inches long, and they can shred when exposed to windy conditions or when brushed in a busy hallway.",Perrenial,Moderate,"Bird of paradise is easy to propagate by division of the underground rhizome when you repot it. Separate a shoot with at least three leaves. It can be grown from seed, but division is easier. It can take months for the seeds to germinate. Divide infrequently because crowded clumps produce the most blooms.","Keep the soil continually moist throughout the year. You don't want it to be waterlogged, but you can expect to need to water it daily in the spring and summer as it loses moisture through its big leaves. Bird of paradise prefers high humidity and you might want to keep a spray bottle handy to mist it if your home is dry. If overwatered the plant will develop crunchy brown leaves. If underwatered the leaves farthest from the center will turn yellow.",Blooms Late Winter to Early Spring,"Monitor the plant for aphids, scale, and mites. Bird of paradise is also susceptible to Botrytis cinerea (gray mold). Flowers and leaves with this condition will develop dark spots and then a layer of gray mold. Remove the affected parts of the plant and give your plant regular airing. ","They require full sun, but keep shielded from midday summer sun.","They are best grown in rich, well-drained potting mix.",https://www.thespruce.com/how-to-grow-strelitzia-1902742,"J. VanZile, “Grow the Beautiful Tropical Bird of Paradise Plant With These Tips,” The Spruce, 17-Jan-2019. [Online]. Available: https://www.thespruce.com/how-to-grow-strelitzia-1902742. [Accessed: 11-Apr-2019]."
